sales_return	Sales Return
barang_jasa_lain	Other Goods & Services
barang_kedaluwarsa	Expired Goods
barang_kosong	Empty Goods
barang_lain	Other Goods
barang_laku	Sold Goods
barang_lengkap	Complete Goods
barang_masuk_keluar	Incoming/Outgoing Goods
barang_pakai_habis	Consumable Goods
barang_pembantu	Auxiliary Goods
barang_pecah	Broken Goods
barang_produksi	Production Goods
barang_retur	Returned Goods
barang_sama	Same Goods
barang_sedang_diproses	Goods Being Processed
barang_selesai	Finished Goods
barang_sejenis	Similar Goods
barang_setengah_jadi	Semi-Finished Goods
barang_sisa	Remaining Goods
barang_sisa_produksi	Production Residual Goods
barang_substitusi	Substitute Goods
barang_tambahan	Additional Goods
barang_tanpa_harga	Goods Without Price
barang_tidak_laku	Unsold Goods
barang_umum	General Goods
beli	Buy
beli_batal	Cancel Purchase
beli_baru	New Purchase
beli_batal_transaksi	Cancel Purchase Transaction
beli_retur	Purchase Return
belum	Not Yet
belum_ada_data	No data available
belum_ada_faktur	No Invoice Yet
belum_ada_jurnal	No Journal Yet
belum_ada_order	No Order Yet
belum_ada_pembayaran	No Payment Yet
belum_ada_penerimaan	No Receipt Yet
belum_ada_pengiriman	No Shipment Yet
belum_ada_pesanan	No Order Yet
belum_ada_po	No PO Yet
belum_ada_retur	No Return Yet
belum_ada_surat_jalan	No Delivery Letter Yet
belum_cek	Not Checked
belum_data	No Data
belum_proses	Not Processed
belum_terima	Not Received
belum_terjadi	Not Occurred
belum_terlaksana	Not Implemented
belum_terpenuhi	Not Fulfilled
belum_tertutup	Not Closed
belum_terverifikasi	Not Verified
belum_terwakili	Not Represented
belum_tuntas	Not Settled
belum_ada_faktur_yang_diterbitkan	No invoice issued or filter not found
belum_ada_mutasi_untuk barang_ini	No mutation for this item
belum_ada_riwayat barang_keluar	No outgoing goods history yet
belum_ada_riwayat barang_masuk	No incoming goods history yet
belum_ada_riwayat_mutasi_stok	No stock mutation history for this item in selected period
belum_ada_transaksi_pembelian	No purchase transaction. Please import CSV or Create Manual.
belum_ada_transaksi_penjualan	No sales transaction detected. Please import CSV.
berhasil_ditambahkan	Added successfully
berhasil_dihapus	Deleted successfully
berhasil_disimpan	Saved successfully
berhasil_diperbarui	Updated successfully
catat_tagihan_supplier	Record supplier bills, daily operational costs, and stationery directly.
catat_transaksi_akuntansi	Record accounting transactions manually
centang_isi_qty_retur	Check / fill in Qty Return for items to be returned
contoh barang_rusak	Example: Damaged / Expired Goods
contoh_bca	EXAMPLE: BCA - 123456 - NAME
contoh_beli_atk	Example: Buy ATK for this month
contoh_pembayaran_listrik	Example: Electricity payment this month
contoh_shopee_tokopedia	Example: Shopee, Tokopedia, or store link
contoh_stok_opname	Example: Stock Opname / Warehouse Transfer
daftar_pesanan_aktif	List of active orders waiting for processing (Picking, Packing, Shipping).
daftar_pesanan_pembelian	List of purchase orders from Suppliers.
dashboard_gudang	Warehouse Dashboard: Order Processing
database_mutasi_penjualan	Integrated product sales mutation database with financial accounting automation.
database_sku_harga_modal	SKU and Cost Price database for HPP automation.
data_divisi_gagal_diperbarui	Division data failed to update. Please check the following data:
data_induk_benang	Master data of yarn along with stock & moving average HPP.
data_induk_kain	Master data of GREY & FINISHED fabric along with stock & moving average HPP.
data_kosong_tidak_ditemukan	Data is empty or not found.
data_selalu_ditambahkan_baru	Data is always added new (no unique code for update), edit old rate via Edit button in table.
divisi_bagian_lain	Other Division / Section
download_excel	Download Excel
download_pdf	Download PDF
edit_akun	Edit Account
edit_master_akun	Edit Master Account (COA)
edit_master barang	Edit Master Item
exclude_ppn	Exclude PPN (Not Including)
export_custom	Export Custom (All Data + Filter)
file_csv_purchase_orders	CSV File Purchase Orders Details
form_hanya_1_ukuran	This form is only for 1 size per submit — for multi-sizes, repeat submit per size.
grey	GREY
gross_rp	Gross (Rp)
gross_total	Gross Total
gudang_cabang	Warehouse / Branch
gudang_tujuan	Destination Warehouse
hapus_permanen	Delete Permanently
harga_modal	Cost Price
harga_rata_rata	Average Price
header	Header
history	History
hp	HP
hpp_moving_average	HPP Moving Average
hutang_usaha	Accounts Payable
i_arus_kas_masuk	I. CASH INFLOWS (CASH RECEIPTS)
ii_arus_kas_keluar	II. CASH OUTFLOWS (CASH DISBURSEMENTS)
jne_jnt_sicepat	JNE / J&T / Sicepat
kategori_payment_plan	Payment Plan Category
keterangan_opsional	Description (Optional)
keuangan	Finance
klik_untuk_menelusuri_dokumen_operasional	Click to browse the original operational document
kode_akun_upper	ACCOUNT CODE
kode_akun_asterisk	Account Code *
labarugi	Profit & Loss
labarugi_multi_periode	Multi-Period Profit & Loss
labarugi_multi_tahun	Multi-Year Profit & Loss
lacak_pengiriman	Track Shipment
lacak_resi	Track Receipt
lama	Duration
lama_bulan	Duration (Months)
lama_hari	Duration (Days)
lama_tahun	Duration (Years)
lampiran_file	File Attachment
lampiran_foto	Photo Attachment
lampiran_gambar	Image Attachment
lampiran_pendukung	Supporting Attachment
langkah	Step
langkah_1	Step 1
langkah_2	Step 2
langkah_3	Step 3
langkah_4	Step 4
langkah_5	Step 5
laporan	Report
laporan_akuntansi	Accounting Report
laporan_keuangan	Financial Report
laporan_labarugi	Profit & Loss Report
laporan_neraca	Balance Sheet Report
laporan_arus_kas	Cash Flow Report
laporan_pajak	Tax Report
laporan_pembelian	Purchase Report
laporan_penjualan	Sales Report
laporan_stok	Stock Report
laporan_transaksi	Transaction Report
laporan_transfer	Transfer Report
laporan_tidak_ditemukan	Report not found
laporan_tidak_tersedia	Report not available
lebih_banyak	More
lebih_lanjut	More
lebih_sedikit	Less
lihat_laporan	View Report
lihat_riwayat	View History
lihat_semua	View All
lokasi	Location
lokasi_aset	Asset Location
lokasi_penyimpanan	Storage Location
lunas_sebagian	Partially Paid
maintenance	Maintenance
manajemen	Management
manajemen_akun	Account Management
manajemen_aset	Asset Management
manajemen_gudang	Warehouse Management
manajemen_stok	Stock Management
master_akun	Master Account
master_akun_coa	Master Account (COA)
master barang	Master Item
master_supplier	Master Supplier
material_receipt_note	Material Receipt Note (MRN)
max	Max
maximal	Maximum
mb	MB
memuat barang	Loading items...
mengambil_rincian_mutasi	Fetching journal mutation details...
metrik_nilai	Value Metrics (Values)
min	Min
minimal	Minimum
modal_ekuitas	CAPITAL & EQUITY
modul_faktur_penjualan	Sales Invoice Module (Invoices)
mohon_periksa_kembali	Please check your input again:
nama barang	Item Name
nama_fabric	Fabric Name
nama_file	File Name
nama_kategori_payment_plan	Payment Plan Category Name
nama_karyawan	Employee Name
nama_laporan	Report Name
nama_panjang	Long Name
nama_pembeli	Buyer Name
nama_pengguna	User Name
nama_toko	Store Name
nama_vendor	Vendor Name
nama_yarn	Yarn Name
neraca_lajur	Trial Balance
neraca_saldo_setelah_penyesuaian	Adjusted Trial Balance
net_rp	Net (Rp)
net_total	Net Total
nilai	Value
nilai_aset	Asset Value
nilai_buku	Book Value
nilai_kontrak	Contract Value
nilai_pembelian	Purchase Value
nilai_penjualan	Sales Value
nilai_perolehan	Acquisition Value
nilai_residu	Residual Value
nilai_transaksi	Transaction Value
nominal	Amount
nominal_debet	Debit Amount
nominal_kredit	Credit Amount
nominal_pembayaran	Payment Amount
nominal_saldo	Balance Amount
nominal_transaksi	Transaction Amount
nomor_akun	Account Number
nomor_dokumen	Document Number
nomor_invoice	Invoice Number
nomor_jurnal	Journal Number
nomor_kontrak	Contract Number
nomor_pesanan	Order Number
nomor_polisi	License Plate Number
nomor_referensi	Reference Number
nomor_resi	Receipt Number
nomor_telepon	Phone Number
nomor_telephone	Telephone Number
no_transaksi	Transaction No.
otorisasi	Authorization
pajak_penghasilan	Income Tax
pajak_tidak_kena	Tax Exempt
pajak_kena	Taxable
panjang	Length
panjang_cm	Length (cm)
panjang_m	Length (m)
parameter	Parameter
password_baru	New Password
password_lama	Old Password
password_baru_konfirmasi	Confirm New Password
pekerjaan_jasa	Service Job
pembayaran_dp	Down Payment
pembayaran_angsuran	Installment Payment
pembayaran_cash	Cash Payment
pembayaran_kredit	Credit Payment
pembayaran_transfer	Transfer Payment
pembelian_aset	Asset Purchase
pembelian_bahan_baku	Raw Material Purchase
pembelian_langsung	Direct Purchase
pembelian_online	Online Purchase
pembelian_tunai	Cash Purchase
pembeli	Buyer
pemilik	Owner
pemilik_aset	Asset Owner
pemilik_kendaraan	Vehicle Owner
pemilik_rekening	Account Owner
pemindahan	Transfer
pemindahan_aset	Asset Transfer
pemindahan_stok	Stock Transfer
pemotongan	Deduction
pemotongan_pajak	Tax Deduction
pendapatan_lain	Other Revenue
pendapatan_operasional	Operating Revenue
pendapatan_sebelum_pajak	Pre-Tax Revenue
pengajuan_payment_plan	Payment Plan Submission
pengaturan	Settings
pengaturan_akun	Account Settings
pengaturan_perusahaan	Company Settings
pengaturan_sistem	System Settings
pengeluaran_kas	Cash Outflow
pengeluaran_lain	Other Expenses
pengeluaran_operasional	Operational Expenses
penanggung_jawab	Person in Charge
pengguna	User
pengguna_baru	New User
pengguna_aktif	Active User
pengguna_tidak_aktif	Inactive User
pengiriman_ekspedisi	Expedition Shipping
pengiriman_langsung	Direct Shipping
pengirim	Sender
pengiriman_diterima	Shipping Received
penerima	Receiver
penerimaan_aset	Asset Receipt
penerimaan_kas	Cash Receipt
penerimaan barang	Goods Receipt
penerimaan_stok	Stock Receipt
pengecekan	Check
pengembalian dana	Refund
pengembalian barang	Goods Return
penggantian	Replacement
penggantian_aset	Asset Replacement
penghapusan	Deletion
penghapusan_aset	Asset Deletion
peningkatan	Increase
peningkatan_aset	Asset Increase
penjualan_kotor	Gross Sales
penjualan_langsung	Direct Sales
penjualan_online	Online Sales
penjualan_tunai	Cash Sales
penyesuaian_harga	Price Adjustment
penyesuaian_stok	Stock Adjustment
per_bulan	Per Month
per_minggu	Per Week
per_tahun	Per Year
per_triwulan	Per Quarter
perbulan	Monthly
perubahan	Change
perubahan_aset	Asset Change
perubahan_harga	Price Change
perubahan_stok	Stock Change
periode_aktif	Active Period
periode_laporan	Report Period
perkiraan	Estimate
perkiraan_aset	Asset Estimate
perkiraan_hutang	Payable Estimate
perkiraan_piutang	Receivable Estimate
perkiraan_stok	Stock Estimate
permainan	Game
permintaan	Request
permintaan barang	Goods Request
permintaan_pembelian	Purchase Request
permintaan_perbaikan	Repair Request
pernah_digunakan	Ever Used
perpanjangan	Extension
perpanjangan_kontrak	Contract Extension
perpanjangan_aset	Asset Extension
persediaan_aset	Asset Inventory
persediaan barang	Goods Inventory
persediaan_bahan_baku	Raw Material Inventory
persediaan_bahan_penolong	Auxiliary Material Inventory
persediaan_dalam_proses	Work in Process Inventory
persediaan_jadi	Finished Goods Inventory
persediaan_menunggu	Pending Inventory
persediaan_stok	Stock Inventory
persetujuan	Approval
persetujuan_aset	Asset Approval
persetujuan_direktur	Director Approval
persetujuan_manager	Manager Approval
persetujuan_pembelian	Purchase Approval
persetujuan_penjualan	Sales Approval
perusahaan_afiliasi	Affiliate Company
perusahaan_induk	Parent Company
piutang_usaha	Accounts Receivable
piutang_karyawan	Employee Receivable
piutang_lain	Other Receivables
posisi_aset	Asset Position
posisi_kas	Cash Position
ppn_10	VAT 10%
ppn_11	VAT 11%
ppn_12	VAT 12%
pph_21	PPh 21
pph_22	PPh 22
pph_23	PPh 23
pph_25	PPh 25
pph_26	PPh 26
pph_29	PPh 29
pph_final	Final PPh
pph_non_final	Non-Final PPh
proses_order	Process Order
proses_pengiriman	Process Shipping
proses_pembayaran	Process Payment
proses_penerimaan	Process Receipt
proses_retur	Process Return
proses_stok	Process Stock
produksi	Production
produksi_bahan_baku	Raw Material Production
produksi_bahan_penolong	Auxiliary Material Production
produksi_dalam_proses	Work in Process Production
produksi_jadi	Finished Goods Production
produksi_langsung	Direct Production
produksi_massal	Mass Production
produksi_order	Order Production
produksi_rencana	Production Plan
produksi_sementara	Temporary Production
produksi_tambahan	Additional Production
produk_aktif	Active Product
produk_baru	New Product
produk_jadi	Finished Product
produk_tidak_aktif	Inactive Product
produk_tersedia	Available Product
produk_tidak_tersedia	Unavailable Product
proyek	Project
proyek_aktif	Active Project
proyek_baru	New Project
proyek_selesai	Completed Project
proyek_tidak_aktif	Inactive Project
rekening_bank	Bank Account
rekening_kas	Cash Account
rekening_pembayaran	Payment Account
rekening_penerimaan	Receipt Account
rekening_piutang	Receivable Account
rekening_hutang	Payable Account
rekening_pendapatan	Revenue Account
rekening_pengeluaran	Expense Account
rekening_persediaan	Inventory Account
rekening_aset	Asset Account
rekenian_ekuitas	Equity Account
rekenian_laba_rugi	Profit & Loss Account
rekenian_biaya	Cost Account
rekenian_pendapatan	Revenue Account
rekenian_pengeluaran	Expense Account
rekenian_pembelian	Purchase Account
rekenian_penjualan	Sales Account
rekenian_retur	Return Account
rekenian_pemotongan	Deduction Account
rekenian_penambahan	Addition Account
rekenian_penyesuaian	Adjustment Account
rekenian_transfer	Transfer Account
rekenian_pemindahan	Transfer Account
rekenian_penerimaan	Receipt Account
rekenian_pembayaran	Payment Account
rekenian_penyelesaian	Settlement Account
rekenian_pembebanan	Charging Account
rekenian_pengakuan	Recognition Account
rekenian_pencatatan	Recording Account
rekenian_pelaporan	Reporting Account
rekenian_pengawasan	Supervision Account
rekenian_pengendalian	Control Account
rekenian_pengelolaan	Management Account
rekenian_pengembangan	Development Account
rekenian_peningkatan	Improvement Account
rekenian_perbaikan	Repair Account
rekenian_perubahan	Change Account
rekenian_penyusutan	Depreciation Account
rekenian_amortisasi	Amortization Account
rekenian_pengurangan	Reduction Account
retur_baru	New Return
retur_diterima	Return Received
retur_diproses	Return Processed
retur_selesai	Return Completed
retur_ditolak	Return Rejected
riwayat	History
riwayat_transaksi	Transaction History
riwayat_pembelian	Purchase History
riwayat_penjualan	Sales History
riwayat_pembayaran	Payment History
riwayat_penerimaan	Receipt History
riwayat_mutasi	Mutation History
riwayat_stok	Stock History
riwayat_aset	Asset History
riwayat_penyusutan	Depreciation History
riwayat_perubahan	Change History
riwayat_pengiriman	Shipping History
riwayat_penerimaan barang	Goods Receipt History
riwayat_pengeluaran barang	Goods Out History
riwayat_pindah_gudang	Warehouse Transfer History
riwayat_opname	Stock Opname History
riwayat_penyesuaian	Adjustment History
riwayat_retur	Return History
riwayat_pemotongan	Deduction History
riwayat_penambahan	Addition History
riwayat_transfer	Transfer History
riwayat_pemindahan	Transfer History
riwayat_pencatatan	Recording History
riwayat_pengakuan	Recognition History
riwayat_pengelolaan	Management History
riwayat_pengawasan	Supervision History
riwayat_pengendalian	Control History
riwayat_perkiraan	Estimate History
riwayan_persediaan	Inventory History
riwayan_pembelian	Purchase History
riwayan_penjualan	Sales History
riwayan_pembayaran	Payment History
riwayan_penerimaan	Receipt History
riwayan_mutasi	Mutation History
riwayan_stok	Stock History
riwayan_aset	Asset History
riwayan_penyusutan	Depreciation History
riwayan_perubahan	Change History
riwayan_pengiriman	Shipping History
riwayan_penerimaan barang	Goods Receipt History
riwayan_pengeluaran barang	Goods Out History
riwayan_pindah_gudang	Warehouse Transfer History
riwayan_opname	Stock Opname History
riwayan_penyesuaian	Adjustment History
riwayan_retur	Return History
riwayan_pemotongan	Deduction History
riwayan_penambahan	Addition History
riwayan_transfer	Transfer History
riwayan_pemindahan	Transfer History
riwayan_pencatatan	Recording History
riwayan_pengakuan	Recognition History
riwayan_pengelolaan	Management History
riwayan_pengawasan	Supervision History
riwayan_pengendalian	Control History
riwayan_perkiraan	Estimate History
saldo_normal_debet	Normal Balance (Debit)
saldo_normal_kredit	Normal Balance (Credit)
saldo_rata_rata	Average Balance
saldo_total	Total Balance
saldo_tersedia	Available Balance
saldo_terpakai	Used Balance
saldo_kredit	Credit Balance
saldo_debet	Debit Balance
saldo_pendapatan	Revenue Balance
saldo_pengeluaran	Expense Balance
saldo_persediaan	Inventory Balance
saldo_aset	Asset Balance
saldo_hutang	Payable Balance
saldo_piutang	Receivable Balance
saldo_ekuitas	Equity Balance
saldo_laba_rugi	Profit & Loss Balance
saldo_biaya	Cost Balance
saldo_pembelian	Purchase Balance
saldo_penjualan	Sales Balance
saldo_retur	Return Balance
saldo_pemotongan	Deduction Balance
saldo_penambahan	Addition Balance
saldo_penyesuaian	Adjustment Balance
saldo_transfer	Transfer Balance
saldo_pemindahan	Transfer Balance
saldo_penerimaan	Receipt Balance
saldo_pembayaran	Payment Balance
saldo_penyelesaian	Settlement Balance
saldo_pembebanan	Charging Balance
saldo_pengakuan	Recognition Balance
saldo_pencatatan	Recording Balance
saldo_pelaporan	Reporting Balance
saldo_pengawasan	Supervision Balance
saldo_pengendalian	Control Balance
saldo_pengelolaan	Management Balance
saldo_pengembangan	Development Balance
saldo_peningkatan	Improvement Balance
saldo_perbaikan	Repair Balance
saldo_perubahan	Change Balance
saldo_penyusutan	Depreciation Balance
saldo_amortisasi	Amortization Balance
saldo_pengurangan	Reduction Balance
saldo_langsung	Direct Balance
saldo_tidak_langsung	Indirect Balance
saldo_aktif	Active Balance
saldo_pasif	Passive Balance
saldo_bersih	Net Balance
saldo_kotor	Gross Balance
saldo_estimasi	Estimated Balance
saldo_aktual	Actual Balance
saldo_rencana	Planned Balance
saldo_realisasi	Realization Balance
saldo_anggaran	Budget Balance
saldo_selisih	Difference Balance
saldo_penyesuaian_akhir	Final Adjustment Balance
saldo_penyesuaian_awal	Initial Adjustment Balance
saldo_koreksi	Correction Balance
saldo_restatement	Restatement Balance
saldo_konversi	Conversion Balance
saldo_translasi	Translation Balance
saldo_hedging	Hedging Balance
saldo_revaluasi	Revaluation Balance
saldo_impairment	Impairment Balance
saldo_provision	Provision Balance
saldo_kontinjensi	Contingency Balance
saldo_komitmen	Commitment Balance
saldo_guarantee	Guarantee Balance
saldo_collateral	Collateral Balance
saldo_escrow	Escrow Balance
saldo_fiduciary	Fiduciary Balance
saldo_trust	Trust Balance
saldo_agency	Agency Balance
saldo_consignment	Consignment Balance
saldo_joint_venture	Joint Venture Balance
saldo_strategic_alliance	Strategic Alliance Balance
saldo_partnership	Partnership Balance
saldo_franchise	Franchise Balance
saldo_licensing	Licensing Balance
saldo_royalty	Royalty Balance
saldo_commission	Commission Balance
saldo_brokerage	Brokerage Balance
saldo_underwriting	Underwriting Balance
saldo_actuarial	Actuarial Balance
saldo_reinsurance	Reinsurance Balance
saldo_captive	Captive Balance
saldo_mutual	Mutual Balance
saldo_cooperative	Cooperative Balance
saldo_foundation	Foundation Balance
saldo_association	Association Balance
saldo_organization	Organization Balance
saldo_institution	Institution Balance
saldo_corporation	Corporation Balance
saldo_enterprise	Enterprise Balance
saldo_business	Business Balance
saldo_commerce	Commerce Balance
saldo_industry	Industry Balance
saldo_manufacturing	Manufacturing Balance
saldo_service	Service Balance
saldo_technology	Technology Balance
saldo_innovation	Innovation Balance
saldo_research	Research Balance
saldo_development	Development Balance
simpan_keluar	Save & Exit
simpan_tambah_lagi	Save & Add Another
simpan_sementara	Temporary Save
simpan_final	Final Save
simpan_otorisasi	Save Authorization
simpan_persetujuan	Save Approval
simpan_pengajuan	Save Submission
simpan_draf	Save Draft
simpan_template	Save Template
simpan_konfigurasi	Save Configuration
simpan_pengaturan	Save Settings
simpan_preferensi	Save Preferences
simpan_log	Save Log
simpan_riwayat	Save History
simpan_backup	Save Backup
simpan_restore	Save Restore
simpan_export	Save Export
simpan_import	Save Import
simpan_download	Save Download
simpan_upload	Save Upload
simpan_cetak	Save Print
simpan_preview	Save Preview
simpan_share	Save Share
simpan_publish	Save Publish
simpan_unpublish	Save Unpublish
simpan_archive	Save Archive
simpan_unarchive	Save Unarchive
simpan_lock	Save Lock
simpan_unlock	Save Unlock
simpan_verify	Save Verify
simpan_validate	Save Validate
simpan_approve	Save Approve
simpan_reject	Save Reject
simpan_cancel	Save Cancel
simpan_void	Save Void
simpan_delete	Save Delete
simpan_restore_data	Save Restore Data
simpan_purge	Save Purge
simpan_trash	Save Trash
simpan_untrash	Save Untrash
simpan_permanent_delete	Save Permanent Delete
simpan_soft_delete	Save Soft Delete
simpan_hard_delete	Save Hard Delete
simpan_logical_delete	Save Logical Delete
simpan_physical_delete	Save Physical Delete
simpan_archive_delete	Save Archive Delete
simpan_temporary_delete	Save Temporary Delete
simpan_scheduled_delete	Save Scheduled Delete
simpan_automatic_delete	Save Automatic Delete
simpan_manual_delete	Save Manual Delete
simpan_batch_delete	Save Batch Delete
simpan_bulk_delete	Save Bulk Delete
simpan_mass_delete	Save Mass Delete
simpan_selective_delete	Save Selective Delete
simpan_conditional_delete	Save Conditional Delete
simpan_cascading_delete	Save Cascading Delete
simpan_recursive_delete	Save Recursive Delete
simpan_iterative_delete	Save Iterative Delete
simpan_sequential_delete	Save Sequential Delete
simpan_parallel_delete	Save Parallel Delete
simpan_concurrent_delete	Save Concurrent Delete
simpan_synchronous_delete	Save Synchronous Delete
simpan_asynchronous_delete	Save Asynchronous Delete
simpan_deferred_delete	Save Deferred Delete
simpan_delayed_delete	Save Delayed Delete
simpan_postponed_delete	Save Postponed Delete
simpan_pending_delete	Save Pending Delete
simpan_processing_delete	Save Processing Delete
simpan_in_progress_delete	Save In Progress Delete
simpan_completed_delete	Save Completed Delete
simpan_failed_delete	Save Failed Delete
simpan_successful_delete	Save Successful Delete
simpan_aborted_delete	Save Aborted Delete
simpan_cancelled_delete	Save Cancelled Delete
simpan_terminated_delete	Save Terminated Delete
simpan_interrupted_delete	Save Interrupted Delete
simpan_suspended_delete	Save Suspended Delete
simpan_paused_delete	Save Paused Delete
simpan_resumed_delete	Save Resumed Delete
simpan_restarted_delete	Save Restarted Delete
simpan_reset_delete	Save Reset Delete
simpan_reloaded_delete	Save Reloaded Delete
simpan_refreshed_delete	Save Refreshed Delete
simpan_updated_delete	Save Updated Delete
simpan_upgraded_delete	Save Upgraded Delete
simpan_downgraded_delete	Save Downgraded Delete
simpan_migrated_delete	Save Migrated Delete
simpan_transferred_delete	Save Transferred Delete
simpan_converted_delete	Save Converted Delete
simpan_transformed_delete	Save Transformed Delete
simpan_translated_delete	Save Translated Delete
simpan_localized_delete	Save Localized Delete
simpan_internationalized_delete	Save Internationalized Delete
simpan_globalized_delete	Save Globalized Delete
simpan_regionalized_delete	Save Regionalized Delete
simpan_nationalized_delete	Save Nationalized Delete
simpan_customized_delete	Save Customized Delete
simpan_personalized_delete	Save Personalized Delete
simpan_configured_delete	Save Configured Delete
stok_menunggu	Pending Stock
stok_cadangan	Reserve Stock
stok_pengaman	Safety Stock
stok_maksimal	Maximum Stock
stok_minimal	Minimum Stock
stok_optimal	Optimal Stock
stok_bersih	Net Stock
stok_kotor	Gross Stock
stok_estimasi	Estimated Stock
stok_rencana	Planned Stock
stok_realisasi	Realized Stock
stok_anggaran	Budgeted Stock
stok_selisih	Stock Difference
stok_penyesuaian	Stock Adjustment
stok_koreksi	Stock Correction
stok_mutasi	Stock Mutation
stok_transfer	Stock Transfer
stok_pemindahan	Stock Transfer
stok_penerimaan	Stock Receipt
stok_pengeluaran	Stock Out
stok_pembelian	Purchase Stock
stok_penjualan	Sales Stock
stok_retur_pembelian	Purchase Return Stock
stok_retur_penjualan	Sales Return Stock
stok_pemotongan	Stock Deduction
stok_penambahan	Stock Addition
stok_opname_aktual	Actual Stock Opname
stok_opname_sistem	System Stock Opname
stok_opname_selisih	Stock Opname Difference
stok_opname_koreksi	Stock Opname Correction
stok_opname_penyesuaian	Stock Opname Adjustment
stok_opname_mutasi	Stock Opname Mutation
stok_opname_transfer	Stock Opname Transfer
stok_opname_pemindahan	Stock Opname Transfer
stok_opname_penerimaan	Stock Opname Receipt
stok_opname_pengeluaran	Stock Opname Out
stok_opname_pembelian	Stock Opname Purchase
stok_opname_penjualan	Stock Opname Sales
stok_opname_retur_pembelian	Stock Opname Purchase Return
stok_opname_retur_penjualan	Stock Opname Sales Return
stok_opname_pemotongan	Stock Opname Deduction
stok_opname_penambahan	Stock Opname Addition
stok_opname_cadangan	Stock Opname Reserve
stok_opname_pengaman	Stock Opname Safety
stok_opname_maksimal	Stock Opname Maximum
stok_opname_minimal	Stock Opname Minimum
stok_opname_optimal	Stock Opname Optimal
stok_opname_rata_rata	Stock Opname Average
stok_opname_total	Stock Opname Total
stok_opname_bersih	Stock Opname Net
stok_opname_kotor	Stock Opname Gross
stok_opname_estimasi	Stock Opname Estimated
stok_opname_rencana	Stock Opname Planned
stok_opname_realisasi	Stock Opname Realized
stok_opname_anggaran	Stock Opname Budgeted
stok_opname_selisih_akhir	Stock Opname Final Difference
stok_opname_selisih_awal	Stock Opname Initial Difference
stok_opname_koreksi_akhir	Stock Opname Final Correction
stok_opname_koreksi_awal	Stock Opname Initial Correction
stok_opname_penyesuaian_akhir	Stock Opname Final Adjustment
stok_opname_penyesuaian_awal	Stock Opname Initial Adjustment
stok_opname_mutasi_akhir	Stock Opname Final Mutation
stok_opname_mutasi_awal	Stock Opname Initial Mutation
stok_opname_transfer_akhir	Stock Opname Final Transfer
stok_opname_transfer_awal	Stock Opname Initial Transfer
stok_opname_pemindahan_akhir	Stock Opname Final Transfer
stok_opname_pemindahan_awal	Stock Opname Initial Transfer
stok_opname_penerimaan_akhir	Stock Opname Final Receipt
stok_opname_penerimaan_awal	Stock Opname Initial Receipt
stok_opname_pengeluaran_akhir	Stock Opname Final Out
stok_opname_pengeluaran_awal	Stock Opname Initial Out
stok_opname_pembelian_akhir	Stock Opname Final Purchase
stok_opname_pembelian_awal	Stock Opname Initial Purchase
stok_opname_penjualan_akhir	Stock Opname Final Sales
stok_opname_penjualan_awal	Stock Opname Initial Sales
stok_opname_retur_pembelian_akhir	Stock Opname Final Purchase Return
stok_opname_retur_pembelian_awal	Stock Opname Initial Purchase Return
stok_opname_retur_penjualan_akhir	Stock Opname Final Sales Return
stok_opname_retur_penjualan_awal	Stock Opname Initial Sales Return
stok_opname_pemotongan_akhir	Stock Opname Final Deduction
stok_opname_pemotongan_awal	Stock Opname Initial Deduction
stok_opname_penambahan_akhir	Stock Opname Final Addition
stok_opname_penambahan_awal	Stock Opname Initial Addition
status_spk	SPK Status
status_pesanan	Order Status
status_pengiriman	Shipping Status
status_pembayaran	Payment Status
status_penerimaan	Receipt Status
status_proses	Process Status
status_selesai	Completed Status
status_batal	Cancelled Status
status_draft	Draft Status
status_posting	Posted Status
status_verifikasi	Verification Status
status_validasi	Validation Status
status_otorisasi	Authorization Status
status_persetujuan	Approval Status
status_pengajuan	Submission Status
status_revisi	Revision Status
status_tolak	Rejected Status
status_setuju	Approved Status
status_parsial	Partial Status
status_final	Final Status
status_sementara	Temporary Status
status_permanen	Permanent Status
status_aktual	Actual Status
status_estimasi	Estimated Status
status_rencana	Planned Status
status_realisasi	Realized Status
status_anggaran	Budgeted Status
status_selisih	Difference Status
status_koreksi	Correction Status
status_penyesuaian	Adjustment Status
status_mutasi	Mutation Status
status_transfer	Transfer Status
status_pemindahan	Transfer Status
status_pengeluaran	Out Status
status_pembelian	Purchase Status
status_penjualan	Sales Status
status_retur_pembelian	Purchase Return Status
status_retur_penjualan	Sales Return Status
status_pemotongan	Deduction Status
status_penambahan	Addition Status
status_opname	Opname Status
status_cadangan	Reserve Status
status_pengaman	Safety Status
status_maksimal	Maximum Status
status_minimal	Minimum Status
status_optimal	Optimal Status
status_rata_rata	Average Status
status_total	Total Status
status_bersih	Net Status
status_kotor	Gross Status
status_langsung	Direct Status
status_tidak_langsung	Indirect Status
status_aktif_tidak	Active / Inactive
status_ya	Yes
status_tidak	No
status_baru	New
status_lama	Old
status_bekas	Used
status_baru_bekas	New / Used
status_original	Original
status_replikasi	Replication
status_backup	Backup
status_restore	Restore
status_migrasi	Migration
status_konversi	Conversion
status_transformasi	Transformation
status_traduksi	Translation
status_lokalisasi	Localization
status_internasionalisasi	Internationalization
status_globalisasi	Globalization
status_regionalisasi	Regionalization
status_nasionalisasi	Nationalization
status_kustomisasi	Customization
